model,params,int8_KB,test_acc
model_aaaaab.h5,100218,97.9,0.9034
model_aaaaad.h5,72845,71.1,0.9154
model_aaaaai.h5,131419,128.3,0.9002
model_aaaaal.h5,64275,62.8,0.9134
model_aaaaam.h5,41875,40.9,0.91
model_aaaaao.h5,95380,93.1,0.9086
model_aaaaap.h5,45534,44.5,0.914
model_aaaaaq.h5,36145,35.3,0.9054
model_aaaaar.h5,21266,20.8,0.9146
model_aaaaas.h5,47215,46.1,0.8977
model_aaaaat.h5,221139,216.0,0.9164
model_aaaaau.h5,41796,40.8,0.9063
model_aaaaav.h5,111807,109.2,0.913
model_aaaaaw.h5,23773,23.2,0.9037
model_aaaaay.h5,66871,65.3,0.9125
model_aaaaba.h5,5423,5.3,0.9021
model_aaaabb.h5,55533,54.2,0.9126
model_aaaabc.h5,32768,32.0,0.9143
model_aaaabd.h5,10688,10.4,0.9046
model_aaaabe.h5,152487,148.9,0.9107
model_aaaabf.h5,6922,6.8,0.8955
model_aaaabg.h5,52270,51.0,0.9156
model_aaaabh.h5,34889,34.1,0.9103
model_aaaabi.h5,57855,56.5,0.9087
model_aaaabj.h5,43220,42.2,0.8949
